"phase","task_id","summary","owner_agent","status","start_date","due_date","dependency","notes"
"M3","A1-2","深度模型（LSTM/GRU）训练与评估","Algo-Agent","Done","2026-03-27","2026-05-24","D1-4,D1-5,A1-1","execution/m3/A1-2_深度模型训练与评估实施说明_v1.0.md; execution/m3/A1-2_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第1轮.md"
"M3","B1-3","缓存策略（Redis）与异步任务机制","Backend-Agent","Done","2026-03-27","2026-05-24","B1-1,B1-2","execution/m3/B1-3_缓存与异步任务实施说明_v1.0.md; execution/m3/B1-3_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第2轮.md"
"M3","F1-3","ECharts 高级图表（桑基、瀑布、箱线、雷达、回放热力）","Frontend-Agent","Done","2026-03-27","2026-05-24","F1-1,F1-2","execution/m3/F1-3_高级图表实施说明_v1.0.md; execution/m3/F1-3_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第3轮.md"
"M3","F1-4","地图-图表-筛选联动","Frontend-Agent","Done","2026-03-27","2026-05-24","F1-2,F1-3","execution/m3/F1-4_地图图表筛选联动实施说明_v1.0.md; execution/m3/F1-4_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第4轮.md"
"M3","F1-5","导出能力（图表截图、CSV、简报）","Frontend-Agent","Done","2026-03-27","2026-05-24","F1-3","execution/m3/F1-5_导出能力实施说明_v1.0.md; execution/m3/F1-5_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第5轮.md"
"M3","T1-1","测试计划与用例基线","Test-Agent","Done","2026-03-27","2026-05-24","A1-2,B1-3,F1-3","execution/m3/T1-1_测试计划与用例基线_v1.0.md; execution/m3/T1-1_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第6轮.md"
"M3","T1-2","接口自动化测试","Test-Agent","Done","2026-05-04","2026-05-24","B1-3","execution/m3/T1-2_接口自动化测试实施说明_v1.0.md; execution/m3/T1-2_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第7轮.md; backend/tests/output/t1_2_api_test_result.json"
"M3","T1-3","前端 E2E 测试","Test-Agent","Done","2026-05-04","2026-05-24","F1-4","execution/m3/T1-3_前端E2E测试实施说明_v1.0.md; execution/m3/T1-3_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第9轮.md; frontend/tests/output/t1_3_e2e_result.json"
"M3","C1-1","接口文档（OpenAPI）","Doc-Agent","Done","2026-05-04","2026-05-24","B1-3","execution/m3/C1-1_接口文档OpenAPI基线_v1.0.md; execution/m3/C1-1_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第8轮.md; backend/openapi.json"
"M3","C1-2","数据字典与模型卡","Doc-Agent","Done","2026-05-04","2026-05-24","A1-2","execution/m3/C1-2_数据字典与模型卡_v1.0.md; execution/m3/C1-2_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第10轮.md; model/deep/output/metrics.json"
"M3","A1-3","时空模型（STGNN）训练与评估","Algo-Agent","Done","2026-03-27","2026-05-24","D1-4,D1-5,A1-2","execution/m3/A1-3_时空模型训练与评估实施说明_v1.0.md; execution/m3/A1-3_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第11轮.md; model/stgnn/output/stgnn_check_result.json"
"M3","A1-4","拥堵识别规则与参数标定","Algo-Agent","Done","2026-03-27","2026-05-24","A1-3,B1-1","execution/m3/A1-4_拥堵识别规则与参数标定实施说明_v1.0.md; execution/m3/A1-4_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第12轮.md; model/congestion_rules/output/rules_check_result.json"
"M3","A1-5","归因分析（SHAP + 规则解释）","Algo-Agent","Done","2026-03-27","2026-05-24","A1-4,B1-1","execution/m3/A1-5_归因分析实施说明_v1.0.md; execution/m3/A1-5_验证记录_2026-03-27.md; execution/m3/M3_评审记录_2026-03-27_第13轮.md; model/attribution/output/attribution_check_result.json"
